pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.861.918.10,"2","861","918","10",1.06,461158.2,5803905.7,"25","24","24",2021/04/13,2021/04/25,Total carbon,TC,M%,DIN ISO 10694,"11"
2.866.923.9,"2","866","923","9",1.7,461363.9,5803852.2,"25","24","24",2021/04/13,2021/04/25,Soil organic carbon,SOC,M%,DIN ISO 10694,"11"
2.866.923.10,"2","866","923","10",1.73,461363.9,5803852.2,"25","24","24",2021/04/13,2021/04/25,Total carbon,TC,M%,DIN ISO 10694,"11"
2.869.926.9,"2","869","926","9",1.5,461550.7,5803655.8,"25","24","24",2021/04/13,2021/04/25,Soil organic carbon,SOC,M%,DIN ISO 10694,"11"
2.869.926.10,"2","869","926","10",1.5,461550.7,5803655.8,"25","24","24",2021/04/13,2021/04/25,Total carbon,TC,M%,DIN ISO 10694,"11"
2.875.932.9,"2","875","932","9",1.4,461751.4,5803666.8,"26","24","24",2021/04/13,2021/04/25,Soil organic carbon,SOC,M%,DIN ISO 10694,"12"
2.875.932.10,"2","875","932","10",1.4,461751.4,5803666.8,"26","24","24",2021/04/13,2021/04/25,Total carbon,TC,M%,DIN ISO 10694,"12"
2.877.934.9,"2","877","934","9",0.77,461832.3,5803533.9,"26","24","24",2021/04/13,2021/04/25,Soil organic carbon,SOC,M%,DIN ISO 10694,"12"
2.877.934.10,"2","877","934","10",0.8,461832.3,5803533.9,"26","24","24",2021/04/13,2021/04/25,Total carbon,TC,M%,DIN ISO 10694,"12"
2.884.941.9,"2","884","941","9",0.9,462257.1,5803360.5,"26","24","24",2021/04/13,2021/04/25,Soil organic carbon,SOC,M%,DIN ISO 10694,"12"
2.884.941.10,"2","884","941","10",0.9,462257.1,5803360.5,"26","24","24",2021/04/13,2021/04/25,Total carbon,TC,M%,DIN ISO 10694,"12"
2.655.712.9,"2","655","712","9",0.58,461486.8,5804078,"19","8","8",2018/12/11,2018/12/12,Soil organic carbon,SOC,M%,DIN ISO 10694,"13"
2.655.712.10,"2","655","712","10",0.59,461486.8,5804078,"19","8","8",2018/12/11,2018/12/12,Total carbon,TC,M%,DIN ISO 10694,"13"
2.656.713.9,"2","656","713","9",0.48,461519.9,5804067,"19","8","8",2018/12/11,2018/12/12,Soil organic carbon,SOC,M%,DIN ISO 10694,"13"
2.656.713.10,"2","656","713","10",0.5,461519.9,5804067,"19","8","8",2018/12/11,2018/12/12,Total carbon,TC,M%,DIN ISO 10694,"13"
2.664.721.9,"2","664","721","9",1.16,461674.2,5804018,"19","8","8",2018/12/11,2018/12/12,Soil organic carbon,SOC,M%,DIN ISO 10694,"13"
2.664.721.10,"2","664","721","10",1.17,461674.2,5804018,"19","8","8",2018/12/11,2018/12/12,Total carbon,TC,M%,DIN ISO 10694,"13"
2.665.722.9,"2","665","722","9",1.05,461674.6,5804402,"19","8","8",2018/12/11,2018/12/12,Soil organic carbon,SOC,M%,DIN ISO 10694,"13"
2.665.722.10,"2","665","722","10",1.06,461674.6,5804402,"19","8","8",2018/12/11,2018/12/12,Total carbon,TC,M%,DIN ISO 10694,"13"
2.667.724.9,"2","667","724","9",0.75,461706.9,5804112,"19","8","8",2018/12/11,2018/12/12,Soil organic carbon,SOC,M%,DIN ISO 10694,"13"
2.667.724.10,"2","667","724","10",0.77,461706.9,5804112,"19","8","8",2018/12/11,2018/12/12,Total carbon,TC,M%,DIN ISO 10694,"13"
2.671.728.9,"2","671","728","9",1.04,461757.5,5804475,"19","8","8",2018/12/11,2018/12/12,Soil organic carbon,SOC,M%,DIN ISO 10694,"13"
2.671.728.10,"2","671","728","10",1.04,461757.5,5804475,"19","8","8",2018/12/11,2018/12/12,Total carbon,TC,M%,DIN ISO 10694,"13"
2.672.729.9,"2","672","729","9",1.54,461763.2,5803836,"19","8","8",2018/12/11,2018/12/12,Soil organic carbon,SOC,M%,DIN ISO 10694,"13"
2.672.729.10,"2","672","729","10",1.59,461763.2,5803836,"19","8","8",2018/12/11,2018/12/12,Total carbon,TC,M%,DIN ISO 10694,"13"
2.673.730.9,"2","673","730","9",0.93,461790.4,5804629,"19","8","8",2018/12/11,2018/12/12,Soil organic carbon,SOC,M%,DIN ISO 10694,"13"
2.673.730.10,"2","673","730","10",0.95,461790.4,5804629,"19","8","8",2018/12/11,2018/12/12,Total carbon,TC,M%,DIN ISO 10694,"13"
2.674.731.9,"2","674","731","9",1.03,461796.2,5804149,"19","8","8",2018/12/11,2018/12/12,Soil organic carbon,SOC,M%,DIN ISO 10694,"13"
