pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method
2.16.16.3,2,16,16,3,2.88,462799.1,5801683.8,1,5,5,2018-05-30,2018-05-31,Middle silt,mSi,M%,DIN ISO 11277
2.16.16.4,2,16,16,4,5.82,462799.1,5801683.8,1,5,5,2018-05-30,2018-05-31,Coarse silt,cSi,M%,DIN ISO 11277
2.16.16.5,2,16,16,5,23.57,462799.1,5801683.8,1,5,5,2018-05-30,2018-05-31,Fine sand,fSa,M%,DIN ISO 11277
2.16.16.6,2,16,16,6,45.02,462799.1,5801683.8,1,5,5,2018-05-30,2018-05-31,Middle sand,mSa,M%,DIN ISO 11277
2.16.16.7,2,16,16,7,18.41,462799.1,5801683.8,1,5,5,2018-05-30,2018-05-31,Coarse sand,cSa,M%,DIN ISO 11277
2.16.16.8,2,16,16,8,6.3,462799.1,5801683.8,1,5,5,2018-05-30,2018-05-31,soil pH,pH,,DIN ISO 10390
2.16.16.12,2,16,16,12,13.2,462799.1,5801683.8,1,5,5,2018-05-30,2018-05-31,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.16.16.13,2,16,16,13,16.0,462799.1,5801683.8,1,5,5,2018-05-30,2018-05-31,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.16.16.14,2,16,16,14,4.2,462799.1,5801683.8,1,5,5,2018-05-30,2018-05-31,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR
2.17.17.1,2,17,17,1,36.19,462838.5,5801874.7,1,5,5,2018-05-30,2018-05-31,Clay,Cl,M%,DIN ISO 11277
2.17.17.2,2,17,17,2,9.67,462838.5,5801874.7,1,5,5,2018-05-30,2018-05-31,Fine silt,fSi,M%,DIN ISO 11277
2.17.17.3,2,17,17,3,9.71,462838.5,5801874.7,1,5,5,2018-05-30,2018-05-31,Middle silt,mSi,M%,DIN ISO 11277
2.17.17.4,2,17,17,4,8.6,462838.5,5801874.7,1,5,5,2018-05-30,2018-05-31,Coarse silt,cSi,M%,DIN ISO 11277
2.17.17.5,2,17,17,5,17.39,462838.5,5801874.7,1,5,5,2018-05-30,2018-05-31,Fine sand,fSa,M%,DIN ISO 11277
2.17.17.6,2,17,17,6,15.1,462838.5,5801874.7,1,5,5,2018-05-30,2018-05-31,Middle sand,mSa,M%,DIN ISO 11277
2.17.17.7,2,17,17,7,3.34,462838.5,5801874.7,1,5,5,2018-05-30,2018-05-31,Coarse sand,cSa,M%,DIN ISO 11277
2.17.17.8,2,17,17,8,6.8,462838.5,5801874.7,1,5,5,2018-05-30,2018-05-31,soil pH,pH,,DIN ISO 10390
2.17.17.12,2,17,17,12,15.0,462838.5,5801874.7,1,5,5,2018-05-30,2018-05-31,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.17.17.13,2,17,17,13,59.0,462838.5,5801874.7,1,5,5,2018-05-30,2018-05-31,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.17.17.14,2,17,17,14,17.5,462838.5,5801874.7,1,5,5,2018-05-30,2018-05-31,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR
2.18.18.8,2,18,18,8,6.5,462868.7,5801512.2,1,25,25,2021-04-13,2021-05-07,soil pH,pH,,DIN ISO 10390
2.18.18.12,2,18,18,12,5.1,462868.7,5801512.2,1,25,25,2021-04-13,2021-05-07,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.18.18.13,2,18,18,13,17.0,462868.7,5801512.2,1,25,25,2021-04-13,2021-05-07,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.18.18.14,2,18,18,14,7.3,462868.7,5801512.2,1,25,25,2021-04-13,2021-05-07,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR
2.19.19.9,2,19,19,9,1.18,462870.8,5801840.6,1,24,24,2021-04-13,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694
2.19.19.10,2,19,19,10,1.23,462870.8,5801840.6,1,24,24,2021-04-13,2021-04-25,Total carbon,TC,M%,DIN ISO 10694
2.19.19.11,2,19,19,11,0.12,462870.8,5801840.6,1,24,24,2021-04-13,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694
2.20.20.1,2,20,20,1,13.68,462873.9,5801850.5,1,5,5,2018-05-30,2018-05-31,Clay,Cl,M%,DIN ISO 11277
2.20.20.2,2,20,20,2,6.28,462873.9,5801850.5,1,5,5,2018-05-30,2018-05-31,Fine silt,fSi,M%,DIN ISO 11277
2.20.20.3,2,20,20,3,8.88,462873.9,5801850.5,1,5,5,2018-05-30,2018-05-31,Middle silt,mSi,M%,DIN ISO 11277
2.20.20.4,2,20,20,4,10.26,462873.9,5801850.5,1,5,5,2018-05-30,2018-05-31,Coarse silt,cSi,M%,DIN ISO 11277
2.20.20.5,2,20,20,5,30.16,462873.9,5801850.5,1,5,5,2018-05-30,2018-05-31,Fine sand,fSa,M%,DIN ISO 11277
2.20.20.6,2,20,20,6,25.61,462873.9,5801850.5,1,5,5,2018-05-30,2018-05-31,Middle sand,mSa,M%,DIN ISO 11277
2.20.20.7,2,20,20,7,5.13,462873.9,5801850.5,1,5,5,2018-05-30,2018-05-31,Coarse sand,cSa,M%,DIN ISO 11277
2.20.20.8,2,20,20,8,6.5,462873.9,5801850.5,1,5,5,2018-05-30,2018-05-31,soil pH,pH,,DIN ISO 10390
2.20.20.12,2,20,20,12,7.0,462873.9,5801850.5,1,5,5,2018-05-30,2018-05-31,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.20.20.13,2,20,20,13,23.0,462873.9,5801850.5,1,5,5,2018-05-30,2018-05-31,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.20.20.14,2,20,20,14,8.6,462873.9,5801850.5,1,5,5,2018-05-30,2018-05-31,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR
2.21.21.1,2,21,21,1,5.05,462896.8,5801646.7,1,4,4,2018-04-12,2018-04-13,Clay,Cl,M%,DIN ISO 11277
2.21.21.2,2,21,21,2,2.3,462896.8,5801646.7,1,4,4,2018-04-12,2018-04-13,Fine silt,fSi,M%,DIN ISO 11277
2.21.21.3,2,21,21,3,0.94,462896.8,5801646.7,1,4,4,2018-04-12,2018-04-13,Middle silt,mSi,M%,DIN ISO 11277
2.21.21.4,2,21,21,4,9.37,462896.8,5801646.7,1,4,4,2018-04-12,2018-04-13,Coarse silt,cSi,M%,DIN ISO 11277
2.21.21.5,2,21,21,5,29.98,462896.8,5801646.7,1,4,4,2018-04-12,2018-04-13,Fine sand,fSa,M%,DIN ISO 11277
2.21.21.6,2,21,21,6,42.86,462896.8,5801646.7,1,4,4,2018-04-12,2018-04-13,Middle sand,mSa,M%,DIN ISO 11277
2.21.21.7,2,21,21,7,9.49,462896.8,5801646.7,1,4,4,2018-04-12,2018-04-13,Coarse sand,cSa,M%,DIN ISO 11277
2.21.21.8,2,21,21,8,6.5,462896.8,5801646.7,1,4,4,2018-04-12,2018-04-13,soil pH,pH,,DIN ISO 10390
2.21.21.9,2,21,21,9,0.75,462896.8,5801646.7,1,4,4,2018-04-12,2018-04-13,Soil organic carbon,SOC,M%,DIN ISO 10694
2.21.21.10,2,21,21,10,0.79,462896.8,5801646.7,1,4,4,2018-04-12,2018-04-13,Total carbon,TC,M%,DIN ISO 10694
