point_ID,X,Y,field_ID
454,423562.1,5890566.7,31
455,423575.7,5890639.7,31
456,423581.3,5890368.4,31
457,423581.6,5890649.4,31
458,423582.3,5890562.5,31
459,423591.8,5890595.5,31
460,423595.6,5890472.2,31
461,423614.5,5890376.3,31
462,423624.6,5890560,31
463,423631.5,5890596.6,31
464,423641.7,5890360.4,31
465,423643.3,5890423.4,31
466,423661.7,5890359.4,31
467,420963.8,5890050.2,32
468,421182.3,5890514.4,32
469,421285.6,5890378,32
470,421414.8,5890678.3,32
471,422283.5,5889614.5,33
472,422346.7,5889675.2,33
473,422482.7,5889823.7,33
474,422622.6,5889991.4,33
475,422695.6,5890181.6,33
476,423008.1,5890111.9,34
477,423030.5,5890032.3,34
478,423031.1,5890111,34
479,423035.9,5889785.4,34
480,423051.4,5889976.1,34
481,423063.4,5889777.4,34
482,423064.5,5889969.7,34
483,423076.6,5890100.3,34
484,423087.4,5889951.1,34
485,423089.8,5889824.2,34
486,423095.1,5889747.6,34
487,423108,5889953.2,34
488,423112.4,5889845.8,34
489,423125.8,5889914.2,34
490,423130.9,5889971,34
491,423135.1,5889762,34
492,423156.3,5889955.9,34
493,423158.6,5889760.7,34
494,423163.2,5889992.9,34
495,423168.8,5889677.5,34
496,423180.3,5889783.1,34
497,423195.6,5889923.4,34
498,423199.5,5889912.5,34
499,423203,5889707.1,34
500,423208.5,5889992.7,34
501,423219.9,5890029.5,34
502,423231.4,5889684.2,34
503,423240.1,5889703.1,34
504,423247,5890001.4,34
505,423267.5,5889941,34
506,423270.4,5889709,34
507,423279.1,5889690.2,34
508,423280.9,5889757.2,34
509,423285.6,5889724.1,34
510,423286,5889807.4,34
511,423295.4,5889956.7,34
512,423321.5,5889735.9,34
513,423321.5,5889903.1,34
514,423330.2,5889673.4,34
515,423330.2,5889931.8,34
516,423332.4,5889559.2,34
517,423337.9,5889861.5,34
518,423341.4,5889760.7,34
519,423373,5889918.8,34
520,423389.7,5889897.5,34
521,420443.7,5889315.1,35
522,420580.5,5889335,35
523,420680.9,5889531.9,35
524,420865.5,5889399.8,35
525,420939.2,5889596.7,35
526,421571.8,5888927.2,36
527,421655.5,5889046,36
528,421755.6,5888800.2,36
529,421942.2,5889152.6,36
530,422012.7,5889096.7,36
531,421348.1,5889041.7,37
532,421401.8,5889254.6,37
533,421426.9,5889288.6,37
534,421482.3,5888946.8,37
535,421487.7,5889045.3,37
536,421496.6,5889249.3,37
537,422405,5888211,38
538,422649,5888180,38
539,422691,5887851,38
540,422823,5887704,38
541,422833,5887404,38
542,422913,5887493,38
543,422963,5887938,38
544,422993,5887639,38
545,423028,5887870,38
546,423180,5887649,38
547,422229,5888507,39
548,422373,5888335,39
549,422396,5888634,39
550,422447,5888539,39
551,422467,5888483,39
552,422644,5888679,39
553,422751,5888289,39
554,422882,5888474,39
555,422958,5888357,39
556,422976,5888549,39
557,421916,5888636,40
558,421932,5888800,40
559,421971,5888802,40
560,422004,5888732,40
561,422036,5888587,40
562,422058,5888784,40
563,421273.8,5886700.5,41
564,421383.7,5886791.4,41
565,421472.4,5886905.8,41
566,421533.8,5886644,41
567,421964,5887497.1,42
568,422003.4,5887132.4,42
569,422097.9,5887594.9,42
570,422561.1,5887340.8,42
571,422640.8,5887400.5,42
572,421286.8,5887656.8,43
573,421489.9,5887661.6,43
574,421499.5,5887178.2,43
575,421801.4,5887427.2,43
576,421884.5,5887747.1,43
577,420955.9,5885995.8,44
578,421355.6,5886302.2,44
579,421499.5,5886530.8,44
580,421740.4,5886407,44
581,421916.1,5886560.1,44
582,421357.7,5885822.1,45
583,421582.5,5886088.8,45
584,421649.1,5885955.2,45
