pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
1.209.209.10,1,209,209,10,1.07,426791.9,5884895.9,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.210.210.9,1,210,210,9,0.82,426801.5,5884627.6,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.210.210.10,1,210,210,10,0.84,426801.5,5884627.6,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.211.211.9,1,211,211,9,0.96,426806.9,5884577.2,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.211.211.10,1,211,211,10,0.97,426806.9,5884577.2,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.212.212.9,1,212,212,9,1.15,426824.5,5884940.1,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.212.212.10,1,212,212,10,1.16,426824.5,5884940.1,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.213.213.9,1,213,213,9,0.73,426852.7,5884750.2,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.213.213.10,1,213,213,10,0.73,426852.7,5884750.2,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.214.214.9,1,214,214,9,0.97,426876.2,5884832.3,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.214.214.10,1,214,214,10,0.99,426876.2,5884832.3,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.215.215.9,1,215,215,9,0.99,426877.4,5884891.9,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.215.215.10,1,215,215,10,1.0,426877.4,5884891.9,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.216.216.9,1,216,216,9,1.16,426879.2,5884624.7,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.216.216.10,1,216,216,10,1.2,426879.2,5884624.7,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.217.217.9,1,217,217,9,0.87,426891.5,5884732.1,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.217.217.10,1,217,217,10,0.88,426891.5,5884732.1,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.219.219.9,1,219,219,9,1.23,426897.3,5884548.4,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.219.219.10,1,219,219,10,1.24,426897.3,5884548.4,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.220.220.9,1,220,220,9,0.87,426912.3,5884679.0,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.220.220.10,1,220,220,10,1.02,426912.3,5884679.0,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.221.221.9,1,221,221,9,0.81,426948.0,5884539.0,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.221.221.10,1,221,221,10,0.82,426948.0,5884539.0,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.223.223.9,1,223,223,9,0.87,426978.5,5884570.6,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.223.223.10,1,223,223,10,0.87,426978.5,5884570.6,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.224.224.9,1,224,224,9,1.09,427009.9,5884881.5,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.224.224.10,1,224,224,10,1.09,427009.9,5884881.5,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.225.225.9,1,225,225,9,1.13,427018.3,5884855.3,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.225.225.10,1,225,225,10,1.14,427018.3,5884855.3,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.226.226.9,1,226,226,9,0.79,427031.1,5884572.6,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.226.226.10,1,226,226,10,0.8,427031.1,5884572.6,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.227.227.9,1,227,227,9,0.81,427074.3,5884673.7,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.227.227.10,1,227,227,10,0.81,427074.3,5884673.7,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.228.228.9,1,228,228,9,1.04,427087.3,5884879.4,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.228.228.10,1,228,228,10,1.24,427087.3,5884879.4,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.229.229.9,1,229,229,9,1.0,427087.6,5884622.1,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.229.229.10,1,229,229,10,1.02,427087.6,5884622.1,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.230.230.9,1,230,230,9,1.3,427096.9,5884816.7,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.230.230.10,1,230,230,10,1.36,427096.9,5884816.7,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.231.231.9,1,231,231,9,0.87,427107.9,5884728.2,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.231.231.10,1,231,231,10,0.87,427107.9,5884728.2,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.232.232.9,1,232,232,9,0.99,427113.4,5884764.4,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
